Order_Number,Gross Volume,Net Volume
36800,590.625,320.318359375
36807,590.625,264.0
36618,361.259765625,149.265625
36748,590.625,333.45000000000005
36789,361.259765625,198.0
36825,741.0,159.06640625
36823,1040.0,113.32666015625
36796,361.259765625,131.839779015
36820,420.0,101.722412109375
36831,155.25,52.25390625
36822,155.25,60.9375
36837,96.0,35.859375
36836,1200.0,51.5000000025
36835,96.0,35.859375
36839,72.0,35.859375
36767,99.0,20.25
36821,1287.0,295.3125
36853,1092.0,191.29296875
36776,155.25,59.25
36848,994.5,512.81875
36828,955.5,265.90625
36806,562.5,191.54765625
36847,590.625,276.83333333999997
36868,310.5,121.875
36838,741.0,96.796875
36802,155.25,50.3750000025
36862,163.875,59.4999999975
36864,92.8,20.2734375
36805,60.0,35.4375
36859,135.0,35.859375
36876,228.0,60.9375
36580,1344.0,9.115584
36743,707.4375,220.0228947735
36698,707.4375,340.30500003149996
36809,361.259765625,161.41780822500002
36842,361.259765625,125.55000000000001
36841,361.259765625,198.0
36632,900.375,387.62499998249996
36745,768.0,130.9116667005
36844,648.0,244.7
36815,960.0,444.9125
36574,1859.375,683.0908203
36873,225.0,31.640625
36874,240.0,52.25390625
36833,148.75,15.1875
36829,256.5,29.05078125
36887,960.0,263.4521484375
36893,155.25,60.9375
36884,76.5,21.328125
36858,1154.25,533.2333984375
36897,99.75,15.50390625
36866,130.0,66.0
36875,132.6,30.9999999975
36851,216.0,132.0
36818,590.625,334.8
36808,361.259765625,112.32142857
36817,82.6669921875,41.85
36885,216.0,68.80078125
36906,178.56000000000003,21.09375
36863,63.0,5.0625
36891,163.875,65.57450628000001
36554,1344.0,387.44751383999994
36892,361.259765625,129.7651388875
36895,361.259765625,109.624999995
36888,361.259765625,60.9375
36547,707.4375,95.55
36881,707.4375,188.671875
36854,707.4375,324.0
36668,3360.0,639.502968715
36871,224.0,2.773628667586
36913,1822.5,499.5789473625
36923,92.0,21.328125
36922,96.10000000000001,13.546875
36865,361.259765625,166.05
36915,106.39999999999999,51.975
36908,878.4,234.73046875
36896,1756.7999999999997,594.0
36925,921.5999999999999,776.953125
36930,361.259765625,106.8046875
36918,590.625,201.8750000025
36880,361.259765625,190.2
36910,707.4375,281.7
36890,361.259765625,192.64901256000002
36928,1815.0,1714.625
36916,361.259765625,109.2812499975
36611,5804.64,481.5
36827,878.4,120.04999996500001
36857,590.625,160.3480853555
36921,361.259765625,119.714285715
36855,1209.6000000000001,241.3125
36867,5643.0,1439.835808
36644,5130.0,551.25
